it,sampling_method,dataset,rotulo,loss_strategy,size,Macro F1
1,At random,airbnb,At random,batl,500,1.082131730390513
1,At random,yelp,At random,batl,500,1.1245350392388205
1,At random,airbnb,At random,batl,500,1.148531642069845
1,At random,yelp,At random,batl,500,1.3324776190091172
1,At random,airbnb,At random,batl,500,1.4527145592970943
1,At random,yelp,At random,batl,500,1.0003320379638847
1,At random,airbnb,At random,batl,500,1.2816975749169601
1,At random,yelp,At random,batl,500,1.1947126984371375
1,At random,airbnb,At random,batl,500,1.3069571144480168
1,At random,yelp,At random,batl,500,1.4530482738656028
1,At random,airbnb,At random,batl,500,1.3627196643960475
1,At random,yelp,At random,batl,500,1.4526029845844337
2,At random,airbnb,At random,batl,500,1.4926156685619734
2,At random,yelp,At random,batl,500,1.2318951346659337
2,At random,airbnb,At random,batl,500,1.390936097538618
2,At random,yelp,At random,batl,500,1.3960397631939554
2,At random,airbnb,At random,batl,500,1.1944684107770935
2,At random,yelp,At random,batl,500,1.1382969281726394
2,At random,airbnb,At random,batl,500,1.2053885103911366
2,At random,yelp,At random,batl,500,1.397600006270241
2,At random,airbnb,At random,batl,500,1.2881247030494922
2,At random,yelp,At random,batl,500,1.1835829228725065
2,At random,airbnb,At random,batl,500,1.4496099544184609
2,At random,yelp,At random,batl,500,1.0451136336258213
3,At random,airbnb,At random,batl,500,1.0957371102210551
3,At random,yelp,At random,batl,500,1.2316740544277742
3,At random,airbnb,At random,batl,500,1.1857190116073262
3,At random,yelp,At random,batl,500,1.0956287476321804
3,At random,airbnb,At random,batl,500,1.2580031646250396
3,At random,yelp,At random,batl,500,1.1246420732470193
3,At random,airbnb,At random,batl,500,1.453627409235122
3,At random,yelp,At random,batl,500,1.1710528618492655
3,At random,airbnb,At random,batl,500,1.1833073068315663
3,At random,yelp,At random,batl,500,1.418985240224147
3,At random,airbnb,At random,batl,500,1.2583557040258813
3,At random,yelp,At random,batl,500,1.3659226669331754
4,At random,airbnb,At random,batl,500,1.3763749417824653
4,At random,yelp,At random,batl,500,1.0596435797782964
4,At random,airbnb,At random,batl,500,1.3861461945546945
4,At random,yelp,At random,batl,500,1.4840376718740032
4,At random,airbnb,At random,batl,500,1.484096226225984
4,At random,yelp,At random,batl,500,1.4951579927197427
4,At random,airbnb,At random,batl,500,1.0447197061549813
4,At random,yelp,At random,batl,500,1.0765778139185773
4,At random,airbnb,At random,batl,500,1.421335511296393
4,At random,yelp,At random,batl,500,1.3717495364002215
4,At random,airbnb,At random,batl,500,1.4643630339954246
4,At random,yelp,At random,batl,500,1.453483268113437
5,At random,airbnb,At random,batl,500,1.235548917557448
5,At random,yelp,At random,batl,500,1.1034336036042345
5,At random,airbnb,At random,batl,500,1.210319068570858
5,At random,yelp,At random,batl,500,1.0395698942123481
5,At random,airbnb,At random,batl,500,1.3339099907148977
5,At random,yelp,At random,batl,500,1.0179933043898575
5,At random,airbnb,At random,batl,500,1.424024073131521
5,At random,yelp,At random,batl,500,1.361422747120169
5,At random,airbnb,At random,batl,500,1.0136952289105665
5,At random,yelp,At random,batl,500,1.051574795585615
5,At random,airbnb,At random,batl,500,1.4597131090701412
5,At random,yelp,At random,batl,500,1.2352313424816104
1,At random,airbnb,At random,batl,1000,2.807784510145979
1,At random,yelp,At random,batl,1000,2.792575686419699
1,At random,airbnb,At random,batl,1000,2.399943117850539
1,At random,yelp,At random,batl,1000,2.6769729637983466
1,At random,airbnb,At random,batl,1000,2.7515886432998973
1,At random,yelp,At random,batl,1000,2.1726640137119344
1,At random,airbnb,At random,batl,1000,2.537151245507353
1,At random,yelp,At random,batl,1000,2.268808391883725
1,At random,airbnb,At random,batl,1000,2.0766037921127936
1,At random,yelp,At random,batl,1000,2.4380055284355837
1,At random,airbnb,At random,batl,1000,2.097155196603733
1,At random,yelp,At random,batl,1000,2.395671714880061
2,At random,airbnb,At random,batl,1000,2.294370209882641
2,At random,yelp,At random,batl,1000,2.719017098325191
2,At random,airbnb,At random,batl,1000,2.332391723580119
2,At random,yelp,At random,batl,1000,2.267931490470077
2,At random,airbnb,At random,batl,1000,2.477555392953187
2,At random,yelp,At random,batl,1000,2.6345175809602837
2,At random,airbnb,At random,batl,1000,2.313227634149804
2,At random,yelp,At random,batl,1000,2.4066386508307236
2,At random,airbnb,At random,batl,1000,2.8242537817267945
2,At random,yelp,At random,batl,1000,2.7463843724542834
2,At random,airbnb,At random,batl,1000,2.800465746507736
2,At random,yelp,At random,batl,1000,2.90297010460937
3,At random,airbnb,At random,batl,1000,2.7612257911475204
3,At random,yelp,At random,batl,1000,2.9504631595199475
3,At random,airbnb,At random,batl,1000,2.9950627527045945
3,At random,yelp,At random,batl,1000,2.6852703863771574
3,At random,airbnb,At random,batl,1000,2.7295273846786356
3,At random,yelp,At random,batl,1000,2.470370638589514
3,At random,airbnb,At random,batl,1000,2.0787071633760714
3,At random,yelp,At random,batl,1000,2.791939853899414
3,At random,airbnb,At random,batl,1000,2.7179085665465528
3,At random,yelp,At random,batl,1000,2.4944643084628586
3,At random,airbnb,At random,batl,1000,2.6835967443655764
3,At random,yelp,At random,batl,1000,2.252510110659912
4,At random,airbnb,At random,batl,1000,2.0069521504771535
4,At random,yelp,At random,batl,1000,2.823771531627579
4,At random,airbnb,At random,batl,1000,2.947873262053978
4,At random,yelp,At random,batl,1000,2.454217642984542
4,At random,airbnb,At random,batl,1000,2.531295453650023
4,At random,yelp,At random,batl,1000,2.4918980752513833
4,At random,airbnb,At random,batl,1000,2.8304158856349773
